what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1315140983443
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1315141021427
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1315141029978
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1315141062251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315141068695
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1315141068768
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1315141103445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315141185114
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315141187223
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1315141189445
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1315141250026
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1315141254603
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1315141259621
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1315141260618
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1315141262639
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1315141279868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1315141283934
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1315141398105
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1315141454114
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1315141457932
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1315141458691
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315141503142
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315141506801
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1315141557181
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1315141561936
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1315141575778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315141581793
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1315141581879
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315141615274
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315141618454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1315141624697
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1315141629491
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1315141630860
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315141639297
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315141687804
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315141693416
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315141873416
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1315141886971
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315141893071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315141923822
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315141962668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315147427544
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315147457548
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315147463255
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315147466885
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315147502665
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1315147515552
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315147590348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315147599020
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1315147608684
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1315147609730
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1315147631302
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1315147632443
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1315147634426
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1315147661554
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315147673042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315147804365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1315147827076
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1315147833884
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315147872395
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315148008364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315148032815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315149402400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315149446583
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315149551936
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315149577010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315149581306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315149581731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315149599286
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1315149601260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315149601826
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315149603788
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315149611473
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315149611643
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315149611644
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1315149613315
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315149613315
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315149620981
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315149621036
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1315149628001
